,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
267,Tennessee,2018,34.4,33.5,30.6,1.6,13.7,31.9,31.7,15.0,7.8,77.3,22.7,77.0,10.2,6.3,6.0,0.4,15.2,84.8,,,,,,,,,,,,,,69.1,30.9
268,Tennessee,2019,36.5,33.0,28.6,1.9,14.0,33.4,31.0,15.3,6.4,78.4,21.6,78.4,9.1,6.2,5.5,0.7,14.8,85.2,59.1,25.1,15.8,57.0,43.0,81.0,19.0,46.8,53.2,21.8,78.2,35.5,64.5,69.9,30.1
269,Tennessee,2020,35.6,34.4,28.4,1.6,19.3,35.1,28.6,12.6,4.3,83.1,16.9,75.5,12.5,6.4,5.2,,12.6,87.4,61.1,22.8,16.1,,,,,,,,,,,75.4,24.6
270,Tennessee,2021,35.0,36.6,26.2,2.2,16.4,33.0,31.2,14.3,5.1,80.6,19.4,78.4,10.7,5.5,4.9,0.5,15.6,84.4,56.4,25.6,18.0,53.9,46.1,80.3,19.7,,,,,,,71.3,28.7
271,Texas,2015,32.4,36.3,29.5,1.9,18.2,26.6,35.8,14.2,5.1,80.6,19.4,65.4,13.6,9.3,9.3,2.3,10.1,89.9,,,,57.5,42.5,80.4,19.6,44.3,55.7,18.8,81.2,29.2,70.8,70.5,29.5
272,Texas,2016,33.6,34.8,29.7,1.8,19.1,27.7,34.9,13.1,5.2,81.7,18.3,68.2,13.0,7.8,8.8,2.2,9.9,90.1,,,,,,,,,,,,,,74.8,25.2
273,Texas,2017,33.0,36.4,28.8,1.8,16.7,27.0,35.4,15.5,5.4,79.2,20.8,65.3,13.4,10.4,9.0,1.9,11.9,88.1,,,,60.6,39.4,78.1,21.9,41.9,58.1,17.0,83.0,29.2,70.8,67.9,32.1
274,Texas,2018,34.8,34.8,29.2,1.2,18.5,28.6,33.8,13.4,5.7,80.9,19.1,73.8,12.2,7.1,5.6,1.3,9.7,90.3,,,,,,,,,,,,,,74.4,25.6
275,Texas,2019,34.0,35.8,28.4,1.8,17.2,28.7,32.9,16.4,4.8,78.8,21.2,73.7,11.9,7.1,5.9,1.4,11.4,88.6,64.0,23.8,12.2,59.0,41.0,77.0,23.0,48.5,51.5,24.3,75.7,37.8,62.2,72.8,27.2
276,Texas,2020,35.8,34.4,27.9,1.9,22.0,29.1,33.0,12.4,3.5,84.1,15.9,72.6,13.6,7.0,5.8,1.1,10.9,89.1,63.6,23.1,13.2,,,,,,,,,,,74.4,25.6
277,Texas,2021,36.1,33.7,28.4,1.8,19.1,29.4,33.4,14.0,4.2,81.9,18.1,69.5,15.0,8.2,6.0,1.4,12.2,87.8,59.9,26.1,14.0,59.4,40.6,75.9,24.1,,,,,,,74.9,25.1
278,Utah,2015,24.5,35.2,38.3,2.0,22.4,36.5,28.6,9.4,3.1,87.5,12.5,59.0,17.1,11.9,9.8,2.2,8.8,91.2,,,,62.4,37.6,80.0,20.0,55.3,44.7,24.8,75.2,34.8,65.2,79.7,20.3
279,Utah,2016,25.4,35.0,37.7,1.9,21.9,36.7,29.8,8.8,2.9,88.3,11.7,61.4,15.5,11.0,10.4,1.7,9.0,91.0,,,,,,,,,,,,,,84.3,15.7
280,Utah,2017,25.2,35.3,37.2,2.2,20.7,35.1,30.6,10.1,3.6,86.4,13.6,60.4,15.9,11.0,10.9,1.9,10.6,89.4,,,,67.9,32.1,82.7,17.3,54.0,46.0,23.0,77.0,33.4,66.6,78.9,21.1
281,Utah,2018,27.8,34.3,35.7,2.2,20.5,34.4,30.6,11.2,3.3,85.5,14.5,69.4,13.6,7.9,7.9,1.2,10.9,89.1,,,,,,,,,,,,,,82.5,17.5
282,Utah,2019,29.2,34.5,34.5,1.7,19.6,35.0,31.0,11.2,3.2,85.6,14.4,69.4,12.5,9.7,7.1,1.3,11.0,89.0,54.2,31.6,14.2,63.4,36.6,78.7,21.3,54.8,45.2,24.9,75.1,38.4,61.6,81.5,18.5
